timestamp,acc_0,acc_1,acc_2,speed,video_time,label,time_since_last_measurement
1689959940.201245,0.12462,0.04781,0.92299,0.0,91.02905,concrete,-1.0
1689959940.301236,0.13879,0.05506,0.93929,0.0,91.129041,concrete,0.09999100000000283
1689959940.40133,0.18298,0.0335,0.98114,0.0,91.229135,concrete,0.10009399999999857
1689959940.501368,0.15767,0.05955,0.93836,0.0,91.329173,concrete,0.10003799999999785
1689959940.601305,0.13623,0.00559,0.97332,0.0,91.42911,concrete,0.09993699999999706
1689959940.701364,0.18831,0.03472,0.94712,0.0,91.529169,concrete,0.10005900000000167
1689959940.801345,0.16317,0.05923,0.92635,0.0,91.62915,concrete,0.09998099999999965
1689959940.901476,0.14021,-0.01263,0.96403,0.0,91.729281,concrete,0.10013100000000463
1689959941.001368,0.17464,-0.03802,0.97346,0.0,91.829173,concrete,0.09989199999999698
1689959941.101481,0.15694,-0.00512,0.93813,0.0,91.929286,concrete,0.10011300000000745
1689959941.201379,0.12295,0.0145,0.95052,0.0,92.029184,concrete,0.09989799999999605
1689959941.301417,0.11718,0.01815,0.96481,0.0,92.129222,concrete,0.10003799999999785
1689959941.401455,0.06009,0.0375,0.95042,0.0,92.22926,concrete,0.10003799999999785
1689959941.501594,0.12362,0.0629,0.91279,0.0,92.329399,concrete,0.10013899999999865
1689959941.601439,0.19629,0.08349,1.01409,0.0,92.429244,concrete,0.09984500000000196
1689959941.701591,0.14317,0.14317,0.92822,0.0,92.529396,concrete,0.10015200000000846
1689959941.797436,0.10907,0.13284,0.92515,0.0,92.625241,concrete,0.09584499999999707
1689959941.897552,0.13108,0.07078,1.00031,0.0,92.725357,concrete,0.10011599999999987
1689959941.997464,0.16016,0.08164,0.93533,0.0,92.825269,concrete,0.09991200000000333
1689959942.09751,0.14471,0.09166,0.95737,0.0,92.925315,concrete,0.10004599999999186
1689959942.197535,0.15527,0.07209,0.93843,0.0,93.02534,concrete,0.10002500000000225
1689959942.29751,0.12787,0.0442,0.85427,0.0,93.125315,concrete,0.09997500000000059
1689959942.397621,0.15569,0.00552,1.00055,0.0,93.225426,concrete,0.10011099999999828
1689959942.497535,0.12477,0.04683,0.93612,0.0,93.32534,concrete,0.09991399999999828
1689959942.597647,0.16886,0.04515,0.99552,0.0,93.425452,concrete,0.10011200000000997
1689959942.697601,0.18115,0.07078,0.92336,0.0,93.525406,concrete,0.09995399999999677
1689959942.797588,0.16816,0.03701,0.91417,0.0,93.625393,concrete,0.09998699999999872
1689959942.897699,0.19088,0.02653,0.96909,0.0,93.725504,concrete,0.10011099999999828
1689959942.997658,0.12453,0.04265,0.91168,0.0,93.825463,concrete,0.09995899999999835
1689959943.097656,0.17367,0.04977,0.97476,0.0,93.925461,concrete,0.09999799999999937
1689959943.197676,0.12149,0.03625,0.94522,0.0,94.025481,concrete,0.10002000000000066
1689959943.297635,0.06031,0.00437,0.96969,0.0,94.12544,concrete,0.09995899999999835
1689959943.397764,0.0424,0.02127,0.99689,0.0,94.225569,concrete,0.10012899999999547
1689959943.497711,0.11612,0.06854,0.96784,0.0,94.325516,concrete,0.09994700000000023
1689959943.597736,0.15155,0.0402,0.97202,0.0,94.425541,concrete,0.10002500000000225
1689959943.697737,0.07922,-0.01611,0.91479,0.0,94.525542,concrete,0.100001000000006
1689959943.797717,0.19481,0.00657,0.99472,0.0,94.625522,concrete,0.09998000000000218
1689959943.897824,0.15568,0.04892,0.95816,0.0,94.725629,concrete,0.10010699999999417
1689959943.997866,0.09482,0.01024,0.94319,0.0,94.825671,concrete,0.10004200000000196
1689959944.097911,0.17621,-0.00418,0.94627,0.0,94.925716,concrete,0.10004499999999439
1689959944.197901,0.20357,0.07994,0.90956,0.0,95.025706,concrete,0.09999000000000535
1689959944.29779,0.14252,0.09974,0.97722,0.0,95.125595,concrete,0.09988900000000456
1689959944.397953,0.10634,0.07398,0.91901,0.0,95.225758,concrete,0.1001629999999949
1689959944.497886,0.12202,0.10249,0.98973,0.0,95.325691,concrete,0.09993300000000715
